country,sector,gross_amt,net_amt,from,to,transaction_id,transaction_date,amount,transaction_type,account_number,merchant_name,category,location,city,state,currency,card_type,card_number,card_expiry_date,transaction_description,transaction_code,transaction_status,transaction_time,transaction_fee,recipient_name,recipient_account_number,recipient_bank_name,exchange_rate,notes
China,Insurance,7229.91,1817.4,Account Y,Customer Care Center,242,11/7/2022,6536.89,transfer,8023609431,Zoonoodle,food,9 Parkside Avenue,Niu,,CNY,mastercard,4913470196799012,1/15/2024,et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur,B2,failed,5:37 AM,21.07,Vinson McGenis,7562470613,Twiyo,0.6626,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat."
Indonesia,Construction,5069.08,5808.44,Account O,Customer Care Center,243,4/12/2022,4799.84,transfer,7027920081,Youopia,entertainment,4328 Forster Hill,Amerta,,IDR,mastercard,3537165820195870,7/28/2026,nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend,C3,completed,2:01 PM,21.72,Kathe Carus,1199072457,Tagchat,1.5095,
Macedonia,Insurance,2429.84,9265.11,Account V,Buyer Network,244,2/16/2022,2638.94,transfer,7508210386,Vinte,food,541 Bluejay Alley,Golema Rečica,,MKD,mastercard,30503312631150,5/31/2023,nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus,B2,completed,4:31 AM,38.19,Mickie Gheerhaert,9496113637,Rhybox,1.4552,"Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci."
Uruguay,Finance,419.1,6112.36,Account X,Customer Z,245,7/11/2022,5639.28,transfer,8707268469,Dynabox,transportation,83 Pawling Pass,Joaquín Suárez,,UYU,visa,3564798281409434,4/19/2030,pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit amet,A1,completed,4:27 PM,12.9,Hendrika Buglar,8470169997,Mydeo,1.6435,"Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est. Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum. Proin eu mi. Nulla ac enim."
Philippines,Transportation,2038.93,9289.06,Account E,Supplier Solutions,246,3/19/2022,5761.02,transfer,8380596027,Dabshots,utilities,838 Delladonna Terrace,Josefina,,PHP,mastercard,201533873355579,6/2/2023,ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est,A1,completed,11:15 AM,46.74,Kimmie Saurat,4283681716,Muxo,1.3533,
Indonesia,E-commerce,5754.14,3783.42,Account M,Pharmacy Chain A,247,6/15/2022,2046.56,deposit,7358602520,Realbridge,utilities,54475 Lillian Way,Banjaranyar,,IDR,amex,3575098131763024,9/18/2027,ultrices aliquet maecenas leo odio condimentum id luctus nec molestie,C3,completed,9:50 PM,44.05,Jarret Doberer,3854764003,Yodo,1.8662,
Pakistan,Consulting,3978.26,5587.81,Account E,Wellness Center A,248,1/11/2022,879.73,deposit,2526231380,Devshare,entertainment,2354 Annamark Court,Choa Saidān Shāh,,PKR,visa,201750410260829,6/29/2025,sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue,C3,failed,3:37 AM,36.19,Boone Coke,3567442880,Vidoo,1.0113,"Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla."
Brazil,Technology,6282.25,2411.57,Account X,Supplier Y,249,6/15/2022,5602.91,deposit,4404982505,Feednation,utilities,2 Milwaukee Center,Lagoa do Itaenga,,BRL,amex,3542300134168916,9/6/2029,commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede,A1,completed,11:39 PM,21.92,Virgina Semmence,5565728011,Dabvine,0.7799,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum."
Russia,Real Estate,2490.87,7268.47,Account S,Pharmacy Chain A,250,7/12/2022,9826.91,deposit,5595267515,Zoomdog,food,5188 Anniversary Circle,Staryy Oskol,,RUB,amex,3551163328577518,4/19/2029,nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla,B2,failed,1:36 PM,24.97,Yul Draper,2201013993,Flipbug,1.7865,"Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum."
Peru,Consulting,4530.4,3233.43,Account R,Supplier Solutions,251,6/15/2022,4372.99,transfer,6812321335,Brightdog,utilities,0411 Ridgeview Avenue,Santa Rosa,,PEN,amex,4844884879434388,5/4/2028,potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas,C3,pending,9:16 PM,17.07,Stanly Ingman,8097170111,Devcast,1.6362,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien."
Brazil,Finance,7663.5,3606.76,Account X,Supplier Connect,252,9/18/2022,1259.69,withdrawal,5111408412,Plajo,entertainment,4 Prentice Junction,Schroeder,,BRL,amex,58934705526760239,12/13/2027,dui vel sem sed sagittis nam congue risus semper porta volutpat quam pede,B2,failed,10:02 AM,23.36,Kippie Gero,8035876230,Talane,1.2039,Donec posuere metus vitae ipsum. Aliquam non mauris.
China,Construction,7241.86,235.09,Account M,Supplier Solutions,253,5/11/2022,7519.97,deposit,5823750237,Oyondu,entertainment,366 Eggendart Alley,Tangzhuang,,CNY,visa,201577920459413,12/30/2023,aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur,A1,pending,9:41 AM,13.02,Vito Medlen,2015376188,Fivebridge,1.7251,
France,Non-Profit,599.3,2707.31,Account Z,Merchant A,254,1/16/2022,1771.34,transfer,6111721376,Midel,transportation,870 Jenna Road,Avignon,B8,EUR,visa,5010129832073781,11/13/2022,lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam,B2,failed,8:10 PM,42.6,Kristen Tydeman,8811915057,Jayo,1.4877,
Brazil,Energy,8867.42,1346.92,Account C,Merchant A,255,5/11/2022,8951.14,withdrawal,6613323890,Tagchat,utilities,0140 Pine View Way,Fonte Boa,,BRL,amex,5270177659889909,1/1/2024,velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat,C3,pending,11:35 AM,46.17,Renata Jackes,4122045000,Tavu,1.424,"Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit."
Thailand,Technology,8951.53,3349.57,Account V,Pharmacy Chain A,256,5/7/2022,6155.95,withdrawal,1002012101,Cogibox,food,21 Kim Way,Wang Thonglang,,THB,mastercard,3563991479780937,10/5/2026,orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi,C3,pending,6:05 AM,44.33,Cherice Garahan,7066552748,Ooba,0.6758,"Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh. In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo."
Russia,Non-Profit,9283.07,7420.28,Account D,Supplier Solutions,257,10/21/2022,306.4,withdrawal,4655601241,Buzzshare,utilities,98 Ohio Trail,Peremyshl’,,RUB,visa,3566690930637465,4/11/2022,libero nam dui proin leo odio porttitor id consequat in consequat ut nulla sed accumsan,C3,failed,6:10 PM,21.22,Bradly Celand,7544897609,Browsebug,1.3011,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh. In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet."
Indonesia,Manufacturing,7881.42,6483.09,Account Y,Client Services Group,258,3/23/2022,5589.55,transfer,2639278907,Viva,utilities,17892 Butternut Crossing,Beraim,,IDR,amex,4844539522948651,9/3/2026,non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget,A1,pending,4:58 AM,2.03,Gaylord Rostern,1678140261,Demizz,1.1669,"Fusce consequat. Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum. In hac habitasse platea dictumst."
Namibia,E-commerce,2840.61,3738.27,Account Z,Client Services Group,259,5/14/2022,263.3,withdrawal,8285670504,Fivebridge,food,56580 Eliot Trail,Maltahöhe,,NAD,amex,374283723034021,8/18/2026,lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio in,C3,pending,4:49 AM,8.53,Rica De Hailes,6774049778,Midel,0.7895,
Israel,Finance,7611.29,1493.97,Account W,Pharmacy Chain A,260,5/28/2022,1425.24,deposit,8276218485,Bluejam,transportation,14 Mcguire Avenue,Herzliyya,,ILS,mastercard,3534205163277258,6/10/2024,nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque,C3,pending,4:39 PM,9.66,Henka Titterrell,5807952110,Yakidoo,1.0649,"Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet."
China,Consulting,5171.72,5064.79,Account X,Supplier Innovations,261,8/24/2022,2742.72,deposit,9467998724,Youfeed,transportation,743 Ridgeway Trail,Xingyi,,CNY,amex,3584331966778455,1/22/2025,pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum,C3,pending,12:45 PM,30.64,Bailey Reams,8694312035,Roombo,0.6229,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti. Nullam porttitor lacus at turpis."
Russia,E-commerce,7957.6,2926.07,Account E,Wellness Center A,262,9/3/2022,6902.57,transfer,2149380991,JumpXS,entertainment,50 Mcguire Circle,Kamenka,,RUB,visa,5575916775184477,11/9/2024,natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus,C3,failed,2:04 AM,43.39,Seymour Pendlington,2326638586,Oozz,0.6093,"Nulla tellus. In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat."
Russia,Education,6116.25,1317.92,Account A,Customer Care Center,263,3/1/2022,9320.98,deposit,8361857650,Kazu,utilities,50 Anzinger Lane,Korsakovo,,RUB,mastercard,490314022078427653,5/25/2030,duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in,A1,pending,4:31 AM,2.84,Jeromy Mableson,3685493333,Zoonoodle,0.9623,
Russia,Automotive,4496.85,7280.23,Account B,Medical Practice Y,264,11/23/2022,5034.74,withdrawal,9790801066,Yata,transportation,4246 Cordelia Junction,Klyuchi,,RUB,amex,3535199139478216,10/5/2022,maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque,C3,failed,2:29 AM,13.29,Ferrell Easey,1681551525,Skipstorm,0.6214,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante."
Japan,Insurance,9184.77,6810.85,Account M,Medical Practice Y,265,8/2/2022,1077.16,deposit,8533891811,Livetube,entertainment,75665 Moland Street,Shiozawa,,JPY,amex,6762056682643323519,6/16/2022,praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam,A1,failed,11:34 PM,43.48,Paolo Petrello,9738192585,Tanoodle,0.51,
Russia,Healthcare,1524.33,2255.19,Account W,Buyer Network,266,8/10/2022,200.69,withdrawal,1311642815,Dynabox,entertainment,13 Beilfuss Street,Darovskoy,,RUB,visa,3532176517761796,4/13/2022,mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent,C3,completed,1:52 AM,39.2,Pincus Spuner,5574435800,Snaptags,0.5044,In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst.
Ukraine,Automotive,447.07,2905.28,Account K,Customer Delight,267,1/4/2022,5896.72,deposit,8947059627,Thoughtbridge,entertainment,90553 Sullivan Place,Kamyshevka Vtoraya,,UAH,mastercard,3576055103357192,12/13/2030,congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis,C3,completed,1:07 PM,31.46,Elsey Josipovitz,6136120945,Yotz,0.8144,"Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede."
Iran,Entertainment,6025.77,9089.77,Account U,Buyer Network,268,11/20/2022,4939.15,transfer,2329047227,Devpoint,food,50650 Gerald Place,Īz̄eh,,IRR,visa,3563647787477034,1/1/2028,volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc,A1,pending,2:57 AM,10.09,Charlotte De Haven,4680479883,Dazzlesphere,0.9303,"Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem."
Palestinian Territory,Non-Profit,1210.52,7120.51,Account C,Retailer Hub,269,3/21/2022,3838.5,withdrawal,2936758896,Skimia,food,50 Schmedeman Center,Qaţanah,,ILS,amex,3574632686679317,12/13/2024,ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit amet,A1,failed,9:23 PM,36.64,Dorene Widmore,1422380199,Devpoint,1.0307,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.
Indonesia,Healthcare,7340.21,4344.85,Account Q,Medical Practice Y,270,6/1/2022,9260.93,transfer,9616535909,Kazio,entertainment,718 Mayer Alley,Tekik Wetan,,IDR,amex,201502706248558,8/22/2028,elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien,B2,completed,4:27 PM,18.77,Chandler Borell,3681829310,Yamia,1.7395,"Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus."
Brazil,Finance,6092.99,5545.88,Account K,Health Clinic X,271,4/19/2022,7072.66,transfer,7412122163,Rhybox,transportation,9 Arkansas Crossing,Palhoça,,BRL,mastercard,503877853185028052,3/8/2029,justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem,C3,failed,8:46 PM,17.83,Jeralee Sefton,8382113201,Yadel,0.9094,
China,Consulting,6880.08,1786.39,Account B,Health Clinic X,272,3/29/2022,7763.74,withdrawal,3547914886,Youtags,entertainment,64 Northwestern Circle,Zhukeng,,CNY,visa,6331108217967247937,9/18/2024,non pretium quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas,B2,pending,7:11 AM,38.42,Zorine Piecha,6576836673,Oozz,1.7334,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique."
China,Transportation,4217.82,3344.62,Account W,Customer Delight,273,4/19/2022,1750.34,deposit,9879095751,Twiyo,utilities,75 Marcy Street,Baicheng,,CNY,amex,3550914401100359,4/5/2029,amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus,B2,pending,3:41 PM,21.9,Lorianna Mollin,2461399395,Kamba,0.5613,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros.
Greece,Insurance,1705.6,4319.3,Account V,E-commerce Store B,274,1/28/2022,651.9,deposit,3252136524,Devpulse,entertainment,163 Golf Parkway,Kálamos,,EUR,amex,501803113572433503,1/7/2023,sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero,C3,pending,4:00 AM,46.48,Adele Pizzie,1329385192,Katz,1.2667,Duis consequat dui nec nisi volutpat eleifend.
Greece,Manufacturing,3788.41,6004.27,Account R,Clinic W,275,12/23/2022,519.95,withdrawal,2764777256,Voomm,entertainment,3767 Main Pass,Gýtheio,,EUR,mastercard,3533243797776016,12/9/2030,vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget,A1,completed,5:18 AM,34.88,Sibylle Piperley,4785545606,Devcast,1.8148,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi."
Czech Republic,Non-Profit,7152.69,5753.66,Account U,Buyer Network,276,1/14/2022,8613.13,withdrawal,6983573576,Yabox,food,8 Declaration Alley,Skuhrov nad Bělou,,CZK,mastercard,30378897872119,4/12/2025,ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum,B2,failed,4:06 PM,30.72,Joyann Avrashin,6503689088,Devshare,1.3328,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue."
Mongolia,Automotive,7956.29,5163.35,Account O,Supplier Solutions,277,4/26/2022,2970.18,transfer,9318688268,Agivu,utilities,429 Summer Ridge Point,Delgerhaan,,MNT,visa,6304344556190683108,9/21/2027,in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra,A1,pending,2:26 AM,40.77,Baxter Battye,7411000798,Gabtune,1.5822,
Denmark,Insurance,9001.33,3244.88,Account X,Wellness Center A,278,10/29/2022,8099.77,deposit,6603639847,Topicblab,utilities,18 Gulseth Place,Frederiksberg,1084,DKK,amex,3578452094384640,5/18/2024,suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus,B2,completed,1:50 AM,35.33,Dewey McKimmey,5556789677,Tagcat,1.8394,
Indonesia,Hospitality,315.05,4901.98,Account C,Customer Z,279,1/15/2022,2941.88,deposit,3261646026,Topdrive,utilities,066 Fair Oaks Street,Gaplokan,,IDR,mastercard,3586281672564178,9/27/2027,et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in,B2,completed,11:47 PM,24.69,Bryan Santen,8450844935,Minyx,1.6753,"Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa."
Myanmar,Agriculture,2076.15,7915.17,Account S,Supplier Y,280,3/26/2022,8981.5,deposit,4719280752,Gabtune,entertainment,157 Schiller Parkway,Myaydo,,MMK,amex,3576919916627051,5/14/2030,eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat,B2,failed,7:06 PM,48.07,Kelsy Hassin,1077555092,Topiczoom,1.8119,"Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat."
Philippines,Education,469.4,2378.59,Account U,Wellness Center A,281,7/29/2022,3476.77,deposit,2010844434,Twitterwire,food,8118 Arkansas Hill,Cambuga,,PHP,visa,3562980256594943,9/13/2027,nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi,B2,pending,9:07 PM,30.95,Jewel Moatt,7603794172,Quaxo,1.5353,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci."
Portugal,Transportation,1626.18,744.32,Account R,Clinic W,282,11/25/2022,66.65,transfer,1450344122,Topiclounge,utilities,3 Superior Street,Quinta da Queimada,15,EUR,visa,3577277956041033,12/24/2025,nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum,C3,completed,7:08 PM,16.65,Justis Ternent,7867801623,Meevee,1.5484,"Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo."
Portugal,Construction,904.2,7481.43,Account S,E-commerce Store B,283,2/16/2022,9881.47,transfer,4335226343,Zoonder,utilities,264 Ohio Parkway,Andorinha,06,EUR,mastercard,3548499609416711,12/2/2023,enim blandit mi in porttitor pede justo eu massa donec dapibus duis at velit,C3,pending,1:00 AM,41.18,Biron Smallridge,9760576097,Zazio,0.952,
China,Education,2536.36,5306.31,Account L,Customer Delight,284,10/4/2022,4496.84,withdrawal,7503132211,Linktype,entertainment,7124 Longview Plaza,Shazhuang,,CNY,visa,3560929626810655,5/7/2027,convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus,C3,completed,10:47 AM,7.76,Giffie Cusack,8719048698,Fivebridge,1.0985,
Armenia,Consulting,8011.8,9366.32,Account O,Supplier Solutions,285,6/10/2022,7219.08,deposit,5696175303,Gigazoom,transportation,218 Welch Hill,Mayakovski,,AMD,amex,3575968463464559,8/2/2029,ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae,B2,completed,10:11 PM,9.44,Thorsten Wheeldon,6439106102,Dynazzy,1.5827,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus."
United States,Automotive,987.93,608.4,Account T,Merchant A,286,10/9/2022,3051.1,transfer,5240404653,Yodoo,transportation,015 Carey Road,Flushing,NY,USD,amex,5593145441369829,11/22/2022,viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien a,C3,pending,5:48 PM,30.71,Daffi Clipston,2698202159,Skyble,0.5272,Nulla tellus. In sagittis dui vel nisl.
China,Real Estate,44.3,2938.0,Account C,Supplier Green,287,4/17/2022,1267.88,transfer,7679351035,Muxo,transportation,64 Continental Hill,Tianyu,,CNY,amex,30570716447707,9/20/2030,ac lobortis vel dapibus at diam nam tristique tortor eu,A1,pending,6:12 AM,33.05,Phyllida MacIntosh,9170743216,Babbleopia,1.8091,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy.
Sweden,Non-Profit,4475.87,6711.91,Account Y,Customer Care Center,288,7/30/2022,4098.09,transfer,4657494164,Dynazzy,entertainment,46769 Clyde Gallagher Alley,Norrköping,E,SEK,amex,5593492944323741,12/24/2025,odio condimentum id luctus nec molestie sed justo pellentesque viverra pede,C3,pending,4:02 PM,18.81,Nap Euler,5046483866,Plajo,1.9235,
China,Entertainment,9846.97,5030.12,Account U,Customer Z,289,7/25/2022,9771.26,withdrawal,8800248642,Edgeify,entertainment,1 Kensington Point,Anfu,,CNY,mastercard,5602246795175595,2/18/2022,integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio,B2,completed,9:50 PM,24.85,Bibbie Balsdon,8643839305,Camimbo,1.9155,Aenean fermentum.
China,Entertainment,4825.0,8471.17,Account L,Supplier Y,290,11/2/2022,3327.32,transfer,8629597777,Jaloo,food,2534 6th Hill,Bailai,,CNY,visa,3555585458085894,2/6/2026,ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor,B2,failed,6:09 PM,44.53,Tiffy Hehir,6881331039,Mydo,0.5824,Pellentesque ultrices mattis odio.
France,Services,329.7,2661.48,Account U,Pharmacy Chain A,291,2/11/2022,4768.71,withdrawal,3252581693,Latz,food,8369 Mandrake Way,Arbois,A6,EUR,mastercard,6709353339551968295,1/31/2030,aenean fermentum donec ut mauris eget massa tempor convallis nulla neque,C3,completed,5:09 AM,7.04,Kanya Jiricka,6069567716,Flashpoint,0.547,"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam. Nam tristique tortor eu pede."
Brazil,Healthcare,6214.64,9605.36,Account L,Buyer Network,292,11/25/2022,9201.62,withdrawal,1003347988,Topdrive,utilities,65349 Ilene Circle,Pirapozinho,,BRL,mastercard,4175008933712170,10/30/2026,ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse,B2,failed,3:58 AM,11.1,Brooke Neild,6374444437,Flashdog,1.9124,
